书名,作者,URL
周禮研究,侯家駒,https://book.douban.com/subject/3391145/
伊斯蘭帝國的吉哈德,小杉泰,https://book.douban.com/subject/34096087/
你是笙歌我是夜,月下潇湘,https://book.douban.com/subject/6785610/
啟蒙、理性與現代性,丘為君,https://book.douban.com/subject/30270581/
田野的技藝,郭佩宜／主編,https://book.douban.com/subject/30419535/
忠孝公园,陈映真,https://book.douban.com/subject/6788195/
Outside,MagueriteDuras,https://book.douban.com/subject/6439261/
吃好，喝好，日子过好,无,https://book.douban.com/subject/34098734/
夜奔（电影剧本）,王蕙玲,https://book.douban.com/subject/2383182/
在他鄉寫作,哈金,https://book.douban.com/subject/4243752/
La pluie d'été,MargueriteDuras,https://book.douban.com/subject/5264512/
莲花,安妮宝贝（庆山）,https://book.douban.com/subject/1529893/
存在主义是一种人道主义,(法)让-保罗·萨特,https://book.douban.com/subject/1444025/
人面桃花,格非,https://book.douban.com/subject/10578510/
人類學好野,香港中文大學人類學系學者,https://book.douban.com/subject/35084266/
笑红尘,陈舜仪整理,https://book.douban.com/subject/10529099/
金贤姬自传,[朝鲜]金贤姬,https://book.douban.com/subject/6092608/
來貘新定義,Cherng,https://book.douban.com/subject/27064632/
反穀,詹姆斯.斯科特(JamesC.Scott),https://book.douban.com/subject/33455463/
爱上双人舞,李中莹,https://book.douban.com/subject/1220789/
她比烟花寂寞,希拉里•杜普蕾,https://book.douban.com/subject/10442281/
辞职，去旅行！,蔻蔻梁,https://book.douban.com/subject/7052624/
像我這樣的一個女子,西西,https://book.douban.com/subject/3134803/
余英時回憶錄,余英時,https://book.douban.com/subject/30348380/
《清明上河圖》與北宋城市化,薛鳳旋,https://book.douban.com/subject/26655806/
辶反田野,趙恩潔、蔡晏霖（主編）,https://book.douban.com/subject/30450211/
金閣寺,[日]三岛由纪夫,https://book.douban.com/subject/30259451/
纏足幽靈,馬思恩(ShirleySeeYanMa),https://book.douban.com/subject/26374177/
